Rating,Review,Sentiment
4,Wonderful,positive
4,Value-for-money,positive
3,Does the job,positive
4,Good choice,positive
5,Wonderful,positive
5,Must buy!,positive
4,Good choice,positive
4,Good choice,positive
4,Delightful,positive
1,Don't waste your money,negative
4,Delightful,positive
5,Awesome,positive
4,Delightful,positive
5,Wonderful,positive
4,Really Nice,positive
3,Good,positive
4,Nice product,positive
5,Just wow!,positive
4,Value-for-money,positive
3,Just okay,positive
3,Fair,positive
5,Mind-blowing purchase,positive
5,Just wow!,positive
5,Awesome,positive
5,Best in the market!,positive
5,Highly recommended,positive
5,Just wow!,positive
5,Best in the market!,positive
4,Worth the money,positive
5,Highly recommended,positive
5,Awesome,positive
5,Mind-blowing purchase,positive
5,Worth every penny,positive
4,Wonderful,positive
5,Highly recommended,positive
5,Classy product,positive
5,Classy product,positive
5,Awesome,positive
5,Classy product,positive
5,Classy product,positive
5,Great product,positive
4,Good choice,positive
3,Fair,positive
5,Best in the market!,positive
5,Terrific purchase,positive
5,Highly recommended,positive
3,Nice,positive
5,Wonderful,positive
5,Brilliant,positive
5,Best in the market!,positive
5,Must buy!,positive
5,Excellent,positive
4,Good quality product,positive
5,Worth every penny,positive
5,Terrific purchase,positive
5,Must buy!,positive
5,Excellent,positive
5,Terrific,positive
5,Fabulous!,positive
5,Simply awesome,positive
5,Mind-blowing purchase,positive
5,Classy product,positive
3,Good,positive
4,Delightful,positive
4,Good choice,positive
5,Perfect product!,positive
4,Good quality product,positive
5,Just wow!,positive
5,Great product,positive
4,Worth the money,positive
1,Useless product,negative
5,Classy product,positive
5,Perfect product!,positive
5,Must buy!,positive
4,Pretty good,positive
5,Worth every penny,positive
4,Worth the money,positive
1,Utterly Disappointed,negative
3,Good phone,positive
5,Great product,positive
4,Worth the money,positive
5,Worth every penny,positive
5,Just wow!,positive
5,Highly recommended,positive
4,Really Nice,positive
5,Fabulous!,positive
5,Highly recommended,positive
5,Terrific purchase,positive
2,Slightly disappointed,negative
5,Must buy!,positive
5,Terrific,positive
5,Worth every penny,positive
5,Highly recommended,positive
5,Classy product,positive
5,Mind-blowing purchase,positive
1,Don't waste your money,negative
4,Good choice,positive
5,Simply awesome,positive
4,Value-for-money,positive
2,Bad quality,negative
4,Really Nice,positive
5,Worth every penny,positive
5,Just wow!,positive
1,Useless product,negative
5,Mind-blowing purchase,positive
5,Mind-blowing purchase,positive
5,Terrific purchase,positive
1,Worst experience ever!,negative
1,Unsatisfactory,negative
5,Best in the market!,positive
5,Brilliant,positive
5,Classy product,positive
5,Terrific purchase,positive
5,Brilliant,positive
5,Best in the market!,positive
5,Classy product,positive
5,Brilliant,positive
